repo1,repo2,topics1,topics2,model,strategy,repo_sim
idan/oauthlib,przemyslawjanpietrzak/pyMonet,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.14919397234916687
evonove/django-oauth-toolkit,przemyslawjanpietrzak/pyMonet,"['django', 'oauth2', 'python']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.12028177827596664
idan/oauthlib,pytoolz/toolz,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.09992994368076324
evonove/django-oauth-toolkit,pytoolz/toolz,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.08198915421962738
django-compressor/django-compressor,billpmurphy/hask,[],[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.07481520622968674
idan/oauthlib,Suor/funcy,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.06801787763834
django-compressor/django-compressor,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.061410196125507355
lepture/authlib,przemyslawjanpietrzak/pyMonet,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.05556988716125488
django-compressor/django-compressor,pytoolz/toolz,[],[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.05008938908576965
lepture/authlib,pytoolz/toolz,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.04417915642261505
idan/oauthlib,billpmurphy/hask,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.042003367096185684
evonove/django-oauth-toolkit,Suor/funcy,"['django', 'oauth2', 'python']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.04078846424818039
selwin/python-user-agents,django-compressor/django-compressor,"['browser-detection', 'python', 'user-agent-detection']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.04069124162197113
idan/oauthlib,django-compressor/django-compressor,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.03699227795004845
lepture/authlib,Suor/funcy,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.03557818755507469
evonove/django-oauth-toolkit,billpmurphy/hask,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.02601710334420204
lepture/authlib,billpmurphy/hask,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.024434298276901245
evonove/django-oauth-toolkit,django-compressor/django-compressor,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.023172199726104736
lepture/authlib,django-compressor/django-compressor,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.014587877318263054
SmileyChris/django-countries,django-compressor/django-compressor,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\sequential\TWINS_MODEL\Best_Param_2023-07-24 16-54-35.596111.pt,sequential,0.009013302624225616
