repo1,repo2,topics1,topics2,model,strategy,repo_sim
idan/oauthlib,przemyslawjanpietrzak/pyMonet,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.07620680332183838
lepture/authlib,SmileyChris/django-countries,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.0691329687833786
idan/oauthlib,SmileyChris/django-countries,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.05902853608131409
lepture/authlib,Suor/funcy,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.0572214275598526
lepture/authlib,pytoolz/toolz,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.05376105010509491
evonove/django-oauth-toolkit,przemyslawjanpietrzak/pyMonet,"['django', 'oauth2', 'python']","['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.052222296595573425
idan/oauthlib,Suor/funcy,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.05110936611890793
django-compressor/django-compressor,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.050130341202020645
idan/oauthlib,pytoolz/toolz,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.0472792387008667
django-compressor/django-compressor,pytoolz/toolz,[],[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.045568034052848816
SmileyChris/django-countries,django-compressor/django-compressor,"['country-codes', 'django', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.042066287249326706
evonove/django-oauth-toolkit,SmileyChris/django-countries,"['django', 'oauth2', 'python']","['country-codes', 'django', 'python']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.03969629853963852
django-compressor/django-compressor,billpmurphy/hask,[],[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.03531212359666824
lepture/authlib,billpmurphy/hask,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.03348103538155556
evonove/django-oauth-toolkit,pytoolz/toolz,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.033441588282585144
evonove/django-oauth-toolkit,Suor/funcy,"['django', 'oauth2', 'python']","['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.03209543600678444
idan/oauthlib,billpmurphy/hask,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.029404181987047195
evonove/django-oauth-toolkit,billpmurphy/hask,"['django', 'oauth2', 'python']",[],E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.02257983386516571
django-compressor/django-compressor,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",E:\SimilarityCal\mean\TWINS_MODEL\Best_Param_2023-07-13 15-35-00.528684.pt,mean,0.015839889645576477
